Word/Phrase,TF-IDF_Average,Intensity_Coefficient
some,0.007148129205050315,0.35236382346127887
knows,0.0011172267424631405,0.35207085385324866
haven,0.0013528163224621218,0.35124501771795585
chit,0.00027481876079429185,0.3510843752016908
chicken,0.00039293377176280176,0.35101140195727504
of course,0.0013731197035878682,0.35029693996770345
reviewing,0.0002165111116631941,0.3502833518777338
alex,0.00022820779588704108,0.3497492976552744
season,0.0003380805483650078,0.3492429375398304
polite and,0.0006101236695376903,0.3487225027105644
location will,0.00022733386994514844,0.3485015260845647
blonde,0.0010166024946743086,0.347924893473093
friendly employees,0.00032494127747275623,0.3474983582399095
very pleasant,0.0005791179834425594,0.34743343257314724
those,0.0020753603480549326,0.34679451026963287
was here,0.0005068511849517934,0.34645841042278513
review,0.002920455201655449,0.346381655484295
spacious,0.0013206243068341656,0.34608255931769494
offered,0.0011314743428049274,0.3458380142988367
has never,0.00036681120065692324,0.3455886059275774
not all,0.0004348929439912886,0.34381603657244303
not too,0.0009983190501467027,0.34323387347266365
asked me,0.000551830358961699,0.3422429138466421
and this one,0.0005583565614524198,0.34213495035832325
consistent,0.002105964667299131,0.3421141706689814
will be back,0.0005776028928861566,0.3417764338009917
person but,0.00022042264629900011,0.3416549598274277
the tea,0.00033750640980092605,0.3399868226851778
barista,0.006165651960925355,0.33998096493402674
had bad experience,0.0003923519238127879,0.33994503914635216
service it,0.00035999075973181384,0.3388770654925087
really like,0.000786731668792552,0.338245542412622
we came,0.0003115612175363841,0.33822115532155533
location is very,0.000435980775602523,0.3382151933150188
the service and,0.0003266813984117853,0.3378485173526206
come out,0.000640284342645842,0.3370784943056513
offered to,0.0004488754392045134,0.3370560417575827
during,0.003441039686201996,0.33651904731208404
lunch,0.0011283471298596094,0.3363011084540247
phenomenal,0.00028289495315578163,0.33596577117472337
so they,0.0008475343934814739,0.3349582648148021
addicted,0.0002792572985325222,0.33470050112124083
deserve,0.00046155821185889175,0.33466520124391375
quickly and,0.0008848729915565595,0.3337065336422441
came over,0.00019075355371477582,0.3335120779576253
quick service,0.0011859058942912304,0.33350190379856526
problem with,0.0005579216364213972,0.33349974135187777
hit,0.001383699165047802,0.33136318201477477
great people,0.0003774931446599825,0.33080360333169995
so kind,0.0006220151581264242,0.3303473376645641
manner,0.0005504166031509928,0.329899563882919
drinks they,0.0005571635825187971,0.32983774075642164
busy,0.007566204115689802,0.3277833336249595
excellent customer,0.00035217757710014145,0.32769870154178715
the gentleman,0.0003200125707132523,0.326861708027395
be in,0.0007758119521210265,0.3267805756720232
calm,0.0002669272390704449,0.3265426358537247
above,0.0011683136404714882,0.32633255589433885
area,0.0060120113465352044,0.32571912511140727
patio,0.0016796459561578617,0.3247670203253367
so,0.01602350960964839,0.32466657171397334
this location but,0.0005256081889328628,0.32455025962354717
frapp,0.0004640492012798302,0.32439340595029204
in less,0.0003088451414720218,0.3240942405419677
my new,0.0005665799890890666,0.3240689123834037
shout,0.00044823635620431113,0.3240251211927912
busy as,0.000281768460689172,0.3238225780750704
name was,0.0003701316525039791,0.3235850171617396
plus,0.0019323270257694516,0.3227602840605753
sweetness,0.0001961782369551924,0.32253138066142784
friendly and,0.0062345543872495005,0.32234925569013684
bad experience,0.0006992843426689927,0.3222138290809052
night,0.0017213869592711168,0.32162757710114587
to pay,0.0010525551525301983,0.3207051200975726
gem,0.00023308562815019504,0.32056822522782163
even when,0.0012817245684004059,0.3198708585796559
made my day,0.0005151515561803502,0.31983038206512127
like starbucks,0.0008795966911496485,0.3197098433240056
great job,0.000976726757479227,0.31928817611319416
slow but,0.00038393190865062936,0.31922125493471876
was done,0.00029790764415212344,0.3183444419689162
accidentally,0.00031724917762237105,0.3182044129063085
attentive,0.0008779862404452274,0.3181984760760529
christmas,0.00047861972167607866,0.31774025564746256
is clean,0.0010161112657347522,0.31757062811226605
super nice,0.0011605661696987455,0.31751064556866776
worked,0.0011849222371226134,0.31688409160815123
friendliness,0.0004088296501459503,0.31610772506412416
worry,0.00035422678058185845,0.31526585827918974
asked if,0.001057958427119532,0.31487181373987727
ice tea,0.0003848384394724522,0.3146908479763442
is they,0.0005903168600638702,0.314375950265996
spot,0.0029602622628735246,0.3141477354640071
every,0.006825482629166368,0.3141383935485944
be back,0.0017409641299360194,0.3140099472984546
making the,0.0009257536239521833,0.31398655434439043
coffee to,0.0007858027115706921,0.3134762605941706
time but,0.00048070568094037505,0.3128682294814295
really nice,0.0008827925113453381,0.3126032439002108
little slow,0.0002692643156106209,0.31258275744348424
up for,0.000987861160494232,0.31232911766605836
treat,0.0014834771708174268,0.3118735519508753
relaxed,0.0002348727152414306,0.31103017926971377
great service,0.002104862069409125,0.3110079983020027
laughing,0.0003379215209639452,0.31092316887558386
clean and,0.002541457993438546,0.31085992400542267
exactly,0.0012123361627138583,0.31052364672381255
so it,0.0018117544227526628,0.310341954867905
gouda,0.0004437888695285878,0.3102660351961159
truly,0.0008977850491369136,0.31001821558982556
faster than,0.00024478806403179263,0.31000533556425003
had bad,0.0007004233516039001,0.3099943162153433
you can,0.0036237165037638942,0.309894487732964
loves,0.00037216931926015867,0.30949148402390936
was little,0.0007167432498996088,0.30909212738755065
smiled,0.0002569731120355497,0.3086434627713982
in the past,0.0005318322037792622,0.3084956747891371
wrong with,0.00045947251016011207,0.3083897618148108
popular,0.0007156100295263883,0.3081183914400502
easy to get,0.00042934753659896156,0.30811286715271385
to purchase,0.00025391026261097885,0.3078977846107959
always correct,0.00034113239154389964,0.30770180647306544
the clover,0.0004562101758047474,0.3072813824121611
day was,0.0002883074400320419,0.3072588981545931
winter,0.00047877505704753225,0.3067714709166094
the friendliest,0.0005514420106666919,0.3065215495120022
quite,0.002415368992177376,0.30545480836824
service is great,0.0004352575467462423,0.30527158839306645
key,0.0004437509157978184,0.3049616608358798
team,0.0014590383519827127,0.30495769012993146
considering,0.0007210248237751735,0.3049544842253409
is on the,0.00032516548437215445,0.3048282295259427
the guys,0.00022875321638853084,0.30397575392517373
remodel,0.0003789223625608441,0.3037123848287985
lot,0.006099943237214011,0.3036448850241271
super fast,0.00046273448589102605,0.3035456781089297
days,0.0023225905162538953,0.3034629732595529
consistently good,0.0004139909336199067,0.3034262889676474
apologize,0.000405418512939237,0.30326006200226896
picky,0.0003191941596070306,0.30296879767372314
good place to,0.0006773862565848365,0.3028512737523571
five stars,0.0003720602560835586,0.3028084371805557
position,0.00019087121089227788,0.3026596862766946
friendly they,0.0007358369936347424,0.3021249138422619
occasional,0.00025139795619018,0.3021163468683784
who ordered,0.00021616862966202638,0.30207367241161426
reno,0.0007863546739763275,0.30174090538363785
recent,0.0004992077366045358,0.30058694278880344
my mind,0.00031409555615912697,0.3005470988141008
or two,0.0005671322829131194,0.30020635157966574
drinks in,0.0003803698994555149,0.29997513828873185
wide,0.00033199276691888346,0.29969012978323756
the community,0.0002855811039239462,0.2989620231576257
excellent service,0.0005172832642976244,0.2987672666702603
prompt,0.0008080603830738976,0.29785863637095655
can ask,0.00028732408784357355,0.2976924959330048
hand,0.0014727942071217225,0.2976739770099805
everyone,0.003584807300333862,0.29745650347316843
are clean,0.00021698485739992185,0.29681120889202706
ready to,0.00046851878359732246,0.29671046987304817
great customer service,0.0010306955064153214,0.29667227037508
great customer,0.0010306955064153214,0.29667227037508
culture,0.00022222441538219227,0.29617396279800834
was super,0.0010501805675337786,0.29607453892647595
you re not,0.0003185033704167263,0.29605535850230963
in case,0.0003167293353275334,0.29566446730480345
treat you,0.00023706879604197924,0.29553753226387924
was friendly,0.0011669389062004746,0.29502586292579713
impressed with the,0.00023041127079838602,0.2948681700492912
one to,0.0007224546397861459,0.2945666378286433
and really,0.0007037154233071287,0.29446214850743097
use your,0.00027080474972348574,0.29418012121507714
outside of,0.0003672231939935837,0.2939790292657007
reading,0.0007280716156794937,0.29351526812757034
is the staff,0.0002250852388943883,0.29348031649547135
their faces,0.0002614847700050269,0.29308081975865347
cheerful and,0.0003238343119533055,0.29269804787070597
rather than,0.0005634108419461771,0.29238390648813367
there always,0.000539218894794945,0.29226168150878756
that their,0.0003376724906157762,0.2920427705366876
easy,0.0020135157168328687,0.29190099705108147
the grande,0.0001759144026273805,0.29189497928898517
thats,0.0003594747390951845,0.29184477607634357
love you,0.00033364245692690266,0.2918427024127269
bistro,0.0002260773339644105,0.2918241540504077
believe it,0.0001864195073619734,0.2917924310994606
they seem,0.0006828764775058924,0.2913987043963716
bit,0.0034162430340782314,0.29037750201168316
cards,0.0005139422347947848,0.29036694398464596
week,0.0027527537771359465,0.29017461072249245
overly,0.00046859769543580433,0.29015892884604405
starbucks staff,0.00041156593303390027,0.28951021767745627
engaging,0.00027467181863630933,0.28938173910093185
perfect and,0.0004453934106022647,0.28916876453771345
to enter,0.00021404565073455614,0.2890059783498596
mall,0.0020886656791755274,0.28893483892620175
recommend,0.0026942784552001814,0.2889074003500593
